LR,LR_rf,rf,svm,,,,,,,W_seed,L_seed
0.624369353,0.740619735,0.759061378,0.803446286,0.731874188,1,1,1,1,,1,6
0.959033937,0.966032885,0.972741121,0.987720045,0.971381997,1,1,1,1,,1,7
0.9683082,0.978578078,0.989528961,0.987629174,0.981011103,1,1,1,1,,1,8
0.945698464,0.955683152,0.978914521,0.971253443,0.962887395,1,1,1,1,,1,9
0.988440635,0.990557398,0.994965456,0.999992063,0.993488888,1,1,1,1,,1,10
0.986046909,0.987176568,0.985221158,0.999996199,0.989610209,1,1,1,1,,1,11
0.964230299,0.959644711,0.943431849,0.997069174,0.966094009,1,1,1,1,,1,12
0.970806353,0.978295302,0.990578691,0.993581802,0.983315537,1,1,1,1,,1,13
0.972668094,0.977805305,0.982722357,0.986536865,0.979933155,1,1,1,1,,1,14
0.992828854,0.995045766,0.99738281,0.990346928,0.993901089,1,1,1,1,,1,15
0.997502176,0.998307219,0.998258297,0.983955857,0.994505887,1,1,1,1,,1,16
0.995507726,0.996223374,0.996959406,0.966605378,0.988823971,1,1,1,1,,1,16
0.507854017,0.546514925,0.518680117,0.814858669,0.596976932,1,1,1,1,,2,1
0.92821485,0.935080045,0.937556091,0.933295074,0.933536515,1,1,1,1,,2,3
0.504988777,0.546889604,0.477028771,0.576970723,0.526469469,1,1,0,1,,2,4
0.6959537,0.75873283,0.653408609,0.616522186,0.681154332,1,1,1,1,,2,5
0.956139803,0.949043513,0.876876145,0.893032396,0.918772964,1,1,1,1,,2,6
0.951316545,0.955562546,0.913067762,0.945732578,0.941419858,1,1,1,1,,2,7
0.938381165,0.935304289,0.945769718,0.936418137,0.938968327,1,1,1,1,,2,8
0.995550425,0.99610553,0.991412235,0.999999783,0.995766993,1,1,1,1,,2,9
0.990242363,0.988521977,0.99243834,0.999998675,0.992800339,1,1,1,1,,2,10
0.960387644,0.968979746,0.987129424,0.994690419,0.977796808,1,1,1,1,,2,11
0.928440318,0.931329232,0.8846646,0.836199659,0.895158452,1,1,1,1,,2,11
0.944449346,0.943239733,0.970741886,0.993688025,0.963029748,1,1,1,1,,2,12
0.982779358,0.983182168,0.988958925,0.994528778,0.987362307,1,1,1,1,,2,13
0.97795065,0.981941288,0.959421797,0.989270536,0.977146067,1,1,1,1,,2,14
0.996886787,0.997039895,0.992708547,0.994929933,0.99539129,1,1,1,1,,2,15
0.995822725,0.99619625,0.988050992,0.988069644,0.992034903,1,1,1,1,,2,16
0.996414461,0.99636447,0.983487935,0.986094804,0.990590418,1,1,1,1,,2,16
0.431765114,0.469782253,0.571625467,0.650183889,0.530839181,0,0,1,1,,2,1
0.84056738,0.851794148,0.664854231,0.972826795,0.832510639,1,1,1,1,,2,2
0.141431524,0.199259642,0.221388837,0.135983446,0.174515862,0,0,0,0,,2,3
0.813216219,0.839509541,0.890955592,0.772454046,0.829033849,1,1,1,1,,2,4
0.949626825,0.950726214,0.979857004,0.975374041,0.963896021,1,1,1,1,,2,5
0.928516795,0.92599445,0.8842452,0.940719575,0.919869005,1,1,1,1,,2,6
0.923391786,0.925190386,0.940455498,0.914034053,0.925767931,1,1,1,1,,2,7
0.978482863,0.978051806,0.978760474,0.99999582,0.983822741,1,1,1,1,,2,8
0.981885975,0.979559063,0.94654425,0.999996829,0.976996529,1,1,1,1,,2,9
0.95140958,0.947023175,0.750216774,0.852154373,0.875200975,1,1,1,1,,2,10
0.985675978,0.985036163,0.996433933,0.999990433,0.991784127,1,1,1,1,,2,11
0.848548947,0.851741437,0.602226983,0.383985036,0.671625601,1,1,1,0,,2,11
0.933792423,0.928263767,0.946256558,0.992372283,0.950171258,1,1,1,1,,2,12
0.979300577,0.973686718,0.984748173,0.994674458,0.983102481,1,1,1,1,,2,13
0.978044468,0.979338078,0.969190683,0.98632237,0.9782239,1,1,1,1,,2,14
0.993780496,0.993333175,0.982624737,0.984416836,0.988538811,1,1,1,1,,2,15
0.95076836,0.955724211,0.996175194,0.902922122,0.951397472,1,1,1,1,,2,16
0.446418869,0.478881938,0.492605608,0.515659822,0.483391559,0,0,0,1,,2,1
0.455754709,0.436022743,0.392132992,0.708918211,0.498207164,0,0,0,1,,2,2
0.657955699,0.755937821,0.627525103,0.54675464,0.647043316,1,1,1,1,,2,3
0.635949883,0.645307129,0.515860487,0.555896954,0.588253613,1,1,1,1,,2,4
0.72526971,0.757864978,0.539279087,0.486699416,0.627278298,1,1,1,0,,2,5
0.918928519,0.911931619,0.848909617,0.846010688,0.881445111,1,1,1,1,,2,6
0.910832483,0.907505033,0.89218477,0.993297206,0.925954873,1,1,1,1,,2,7
0.947518939,0.939806027,0.951773199,0.98290732,0.955501371,1,1,1,1,,2,8
0.953197582,0.959418238,0.921386553,0.953873619,0.946968998,1,1,1,1,,2,9
0.978962062,0.973366797,0.93206581,0.969393095,0.963446941,1,1,1,1,,2,10
0.958914064,0.959545215,0.986445448,0.994693919,0.974899662,1,1,1,1,,2,11
0.950206821,0.952910851,0.897931012,0.870234186,0.917820717,1,1,1,1,,2,12
0.948734923,0.954890473,0.973414822,0.988535026,0.966393811,1,1,1,1,,2,13
0.980560399,0.98107405,0.994120399,0.987169142,0.985730998,1,1,1,1,,2,14
0.982006191,0.983279084,0.986101676,0.944091998,0.973869737,1,1,1,1,,2,15
0.995774842,0.995350294,0.985721922,0.984677772,0.990381208,1,1,1,1,,2,16
0.321803409,0.318993714,0.3959052,0.237657098,0.318589855,0,0,0,0,,2,1
0.629461062,0.648097545,0.498984931,0.812019254,0.647140698,1,1,0,1,,2,2
0.769669139,0.766066954,0.776852094,0.519337401,0.707981397,1,1,1,1,,2,3
0.20352589,0.189064932,0.130101,0.078118949,0.150202693,0,0,0,0,,2,4
0.834958059,0.832183538,0.805529555,0.878864123,0.837883819,1,1,1,1,,2,5
0.61697237,0.703202094,0.650171385,0.461867566,0.608053354,1,1,1,0,,2,6
0.957781607,0.959347997,0.904445636,0.957718241,0.94482337,1,1,1,1,,2,7
0.967329726,0.97429645,0.974116619,0.960713339,0.969114034,1,1,1,1,,2,8
0.944062248,0.947072984,0.893049357,0.921682064,0.926466663,1,1,1,1,,2,9
0.988076089,0.988642303,0.978392728,0.996436949,0.987887017,1,1,1,1,,2,10
0.985607971,0.984586463,0.978429021,0.999988501,0.987152989,1,1,1,1,,2,11
0.963130715,0.951765374,0.963887025,0.995931379,0.968678623,1,1,1,1,,2,12
0.969902611,0.97395866,0.976623248,0.992006646,0.978122792,1,1,1,1,,2,13
0.971820313,0.973373425,0.966603476,0.986921991,0.974679801,1,1,1,1,,2,14
0.992601662,0.994035495,0.989581878,0.991420716,0.991909938,1,1,1,1,,2,15
0.997422657,0.997960663,0.993525721,0.986929143,0.993959546,1,1,1,1,,2,16
0.995365008,0.995452144,0.973313015,0.96383118,0.981990337,1,1,1,1,,2,16
0.930280379,0.945529012,0.887470547,0.976483901,0.93494096,1,1,1,1,,3,1
0.92821485,0.935080045,0.90614712,0.929655082,0.924774274,1,1,1,1,,3,2
0.07312626,0.077317425,0.090250207,0.089824433,0.082629581,0,0,0,0,,3,4
0.150398057,0.179206574,0.347520446,0.088305479,0.191357639,0,0,0,0,,3,5
0.627688067,0.563900031,0.558099715,0.53053806,0.570056468,1,1,1,1,,3,6
0.601788322,0.598865549,0.570886209,0.629098989,0.600159767,1,1,1,1,,3,7
0.540809777,0.500924978,0.393590075,0.627789211,0.51577851,1,1,0,1,,3,8
0.945365265,0.946688527,0.958743036,0.999991175,0.962697001,1,1,1,1,,3,9
0.886985641,0.856718679,0.913149127,0.994820095,0.912918385,1,1,1,1,,3,10
0.65217429,0.68441281,0.786231262,0.955690983,0.769627336,1,1,1,1,,3,11
0.500847174,0.484957578,0.430909007,0.341005054,0.439429704,1,0,0,0,,3,11
0.568006217,0.535690903,0.710009646,0.946321265,0.690007008,1,1,1,1,,3,12
0.815279971,0.802323107,0.94256811,0.963580715,0.880937976,1,1,1,1,,3,13
0.774271646,0.790580188,0.903357742,0.952731138,0.855235179,1,1,1,1,,3,14
0.961186352,0.958990953,0.974132205,0.982755983,0.969266373,1,1,1,1,,3,15
0.948550027,0.947870147,0.914484551,0.961414641,0.943079842,1,1,1,1,,3,16
0.955539248,0.950068463,0.971880753,0.962524483,0.960003237,1,1,1,1,,3,16
0.907621439,0.927335241,0.829943387,0.947655408,0.903138869,1,1,1,1,,3,1
0.985543389,0.98806437,0.830719506,0.995077956,0.949851305,1,1,1,1,,3,2
0.98742061,0.983016859,0.864823518,0.982790079,0.954512767,1,1,1,1,,3,3
0.251893256,0.266413922,0.255428805,0.195554637,0.242322655,0,0,0,0,,3,4
0.593155299,0.572573023,0.605439235,0.59631017,0.591869432,1,1,1,1,,3,5
0.501135087,0.464870738,0.504316071,0.603760977,0.518520718,1,0,1,1,,3,6
0.482448146,0.461967615,0.486777357,0.52478104,0.48899354,0,0,0,1,,3,7
0.778607164,0.755728281,0.789615276,0.989471899,0.828355655,1,1,1,1,,3,8
0.8073999,0.768895633,0.766644597,0.992070632,0.83375269,1,1,1,1,,3,9
0.60227005,0.553789025,0.534853194,0.446056161,0.534242107,1,1,1,0,,3,10
0.841816202,0.820474395,0.870252379,0.986136335,0.879669828,1,1,1,1,,3,11
0.302310335,0.285130736,0.41921929,0.077436696,0.271024264,0,0,0,0,,3,11
0.521704768,0.473236324,0.627486215,0.936368244,0.639698888,1,0,1,1,,3,12
0.785354468,0.719813901,0.908002424,0.9662271,0.844849473,1,1,1,1,,3,13
0.775032741,0.766939055,0.86439416,0.93420984,0.835143949,1,1,1,1,,3,14
0.925134131,0.911850784,0.849047436,0.93608376,0.905529028,1,1,1,1,,3,15
0.598963535,0.599781383,0.674166784,0.660935348,0.633461763,1,1,1,1,,3,16
0.91249087,0.929756474,0.836998977,0.92418891,0.900858808,1,1,1,1,,3,1
0.915455234,0.917598597,0.922375458,0.975304238,0.932683381,1,1,1,1,,3,2
0.870500155,0.823019595,0.616410059,0.929606615,0.809884106,1,1,1,1,,3,3
0.119018532,0.112146273,0.073619233,0.100402287,0.101296581,0,0,0,0,,3,4
0.169548312,0.178511141,0.179433632,0.080831499,0.152081146,0,0,0,0,,3,5
0.467120392,0.418234384,0.382482778,0.31374481,0.395395591,0,0,0,0,,3,6
0.441335587,0.405178848,0.419905964,0.91527946,0.545424965,0,0,0,1,,3,7
0.582685871,0.520145134,0.508212816,0.853159547,0.616050842,1,1,1,1,,3,8
0.611661525,0.621408585,0.499610989,0.720184127,0.613216306,1,1,0,1,,3,9
0.782548473,0.717303517,0.670188613,0.772508994,0.735637399,1,1,1,1,,3,10
0.643491329,0.622176678,0.764226362,0.949300162,0.744798633,1,1,1,1,,3,11
0.596093969,0.584190928,0.595987938,0.397880005,0.54353821,1,1,1,0,,3,12
0.588685533,0.59508476,0.766899185,0.924571427,0.718810226,1,1,1,1,,3,13
0.795958943,0.78255816,0.855877657,0.92866473,0.840764873,1,1,1,1,,3,14
0.808452211,0.803253702,0.804562254,0.743483483,0.789937912,1,1,1,1,,3,15
0.947988567,0.936956604,0.968543793,0.955252397,0.95218534,1,1,1,1,,3,16
0.859855367,0.870915413,0.85865989,0.798063666,0.846873584,1,1,1,1,,3,1
0.956457174,0.963672073,0.680419372,0.968844899,0.892348379,1,1,1,1,,3,2
0.794642777,0.814760174,0.669469896,0.915816859,0.798672426,1,1,1,1,,3,3
0.019379172,0.01592872,0.02027703,0.00692741,0.015628083,0,0,0,0,,3,4
0.281222896,0.256108318,0.180089256,0.399839184,0.279314913,0,0,0,0,,3,5
0.110773099,0.141257551,0.201928028,0.066198327,0.130039251,0,0,0,0,,3,6
0.636956388,0.620984422,0.528501639,0.709848747,0.624072799,1,1,1,1,,3,7
0.696035177,0.72464275,0.618301735,0.748290122,0.696817446,1,1,1,1,,3,8
0.566200795,0.55403445,0.653047125,0.605407416,0.594672446,1,1,1,1,,3,9
0.865020281,0.85802227,0.848745356,0.973503123,0.886322757,1,1,1,1,,3,10
0.841175245,0.816002986,0.918908168,0.983241309,0.889831927,1,1,1,1,,3,11
0.668902347,0.578047751,0.800798723,0.96689011,0.753659733,1,1,1,1,,3,12
0.713648745,0.721960354,0.894863197,0.945940798,0.819103274,1,1,1,1,,3,13
0.727303407,0.717355361,0.919010846,0.938035832,0.825426361,1,1,1,1,,3,14
0.912095084,0.920449478,0.964504487,0.968507196,0.941389061,1,1,1,1,,3,15
0.967667953,0.971407793,0.895701551,0.963077513,0.949463703,1,1,1,1,,3,16
0.943207901,0.938258202,0.676698033,0.872096902,0.857565259,1,1,1,1,,3,16
0.512840782,0.592596691,0.517286956,0.762363721,0.596272037,1,1,1,1,,4,1
0.504988777,0.546889604,0.512189681,0.540134852,0.526050728,1,1,1,1,,4,2
0.07312626,0.077317425,0.104284474,0.088533759,0.08581548,0,0,0,0,,4,3
0.691714581,0.72264777,0.632806601,0.363691076,0.602715007,1,1,1,0,,4,5
0.955295268,0.939139028,0.873133189,0.937553291,0.926280194,1,1,1,1,,4,6
0.950383958,0.946854217,0.941738322,0.917821104,0.9391994,1,1,1,1,,4,7
0.937217139,0.922946113,0.944339409,0.935947411,0.935112518,1,1,1,1,,4,8
0.995461145,0.995303286,0.975851328,0.999999804,0.991653891,1,1,1,1,,4,9
0.990047644,0.98617923,0.953907402,0.99999919,0.982533366,1,1,1,1,,4,10
0.959621449,0.962798397,0.963343668,0.999985563,0.971437269,1,1,1,1,,4,11
0.92710309,0.918278085,0.962804782,0.925512551,0.933424627,1,1,1,1,,4,11
0.943393037,0.932287646,0.943138675,0.997260472,0.954019958,1,1,1,1,,4,12
0.98243835,0.979771829,0.973136948,0.999993581,0.983835177,1,1,1,1,,4,13
0.977516211,0.97828488,0.922495431,0.999985444,0.969570491,1,1,1,1,,4,14
0.996824236,0.996429436,0.977541157,0.99999703,0.992697965,1,1,1,1,,4,15
0.995738886,0.995412608,0.974723956,0.996578242,0.990613423,1,1,1,1,,4,16
0.996342455,0.995615332,0.981248326,0.996984918,0.992547758,1,1,1,1,,4,16
0.436667655,0.516766885,0.575249959,0.607552349,0.534059212,0,1,1,1,,4,1
0.84322359,0.874006099,0.712774705,0.952595937,0.845650083,1,1,1,1,,4,2
0.860974382,0.829068403,0.749196141,0.822104871,0.815335949,1,1,1,1,,4,3
0.189833939,0.187479418,0.167793976,0.274852026,0.20498984,0,0,0,0,,4,4
0.948663616,0.941128509,0.924331566,0.855315383,0.917359768,1,1,1,1,,4,5
0.927180884,0.912025181,0.941871004,0.927490128,0.927141799,1,1,1,1,,4,6
0.921968146,0.911083916,0.897724818,0.901128426,0.907976327,1,1,1,1,,4,7
0.978058675,0.973629031,0.98244158,0.999988062,0.983529337,1,1,1,1,,4,8
0.981527609,0.975432385,0.946427416,0.999996479,0.975845972,1,1,1,1,,4,9
0.950478682,0.936752164,0.868058201,0.938098882,0.923346982,1,1,1,1,,4,10
0.985391477,0.981994895,0.959570912,0.999998248,0.981738883,1,1,1,1,,4,11
0.845966482,0.826384065,0.629271206,0.676444246,0.7445165,1,1,1,1,,4,11
0.932547943,0.914683388,0.943206542,0.996699302,0.946784294,1,1,1,1,,4,12
0.978892161,0.968412743,0.969590832,0.999993186,0.97922223,1,1,1,1,,4,13
0.977611835,0.975167919,0.960606928,0.997338486,0.977681292,1,1,1,1,,4,14
0.99365593,0.991964446,0.981464331,0.996655687,0.990935098,1,1,1,1,,4,15
0.949825826,0.947045807,0.992732564,0.953940629,0.960886206,1,1,1,1,,4,16
0.451355635,0.525874025,0.536773121,0.5,0.503500695,0,1,1,0,,4,1
0.460708795,0.482704814,0.400256046,0.79504738,0.534679259,0,0,0,1,,4,2
0.346549398,0.280410778,0.259635844,0.613299935,0.374973989,0,0,0,1,,4,3
0.368682644,0.398825098,0.39549561,0.403360171,0.391590881,0,0,0,0,,4,4
0.721275629,0.721697729,0.536007383,0.477837312,0.614204513,1,1,1,0,,4,5
0.917429353,0.895607112,0.834333911,0.756896849,0.851066806,1,1,1,1,,4,6
0.909198399,0.890458568,0.859575522,0.976728108,0.908990149,1,1,1,1,,4,7
0.946517694,0.928241799,0.954408218,0.974310307,0.950869504,1,1,1,1,,4,8
0.952299221,0.951427094,0.964691604,0.966105956,0.958630969,1,1,1,1,,4,9
0.978547113,0.968030806,0.962515709,0.978874337,0.971991991,1,1,1,1,,4,10
0.958120609,0.951577813,0.95978105,0.996890859,0.966592583,1,1,1,1,,4,11
0.949254109,0.943713483,0.910108705,0.951451153,0.938631863,1,1,1,1,,4,12
0.947755598,0.946057874,0.981461522,0.997021689,0.968074171,1,1,1,1,,4,13
0.980176338,0.977246118,0.975835839,0.99689073,0.982537256,1,1,1,1,,4,14
0.981650159,0.979887997,0.978345871,0.97950796,0.979847997,1,1,1,1,,4,15
0.995690046,0.994393351,0.965728458,0.996269486,0.988020335,1,1,1,1,,4,16
0.326174073,0.361170149,0.404291565,0.258343517,0.337494826,0,0,0,0,,4,1
0.634103395,0.68971738,0.569531935,0.730129102,0.655870453,1,1,1,1,,4,2
0.233887614,0.269310531,0.148937231,0.470698316,0.280708423,0,0,0,0,,4,3
0.79968987,0.838106795,0.816404005,0.926504445,0.845176278,1,1,1,1,,4,4
0.832189679,0.804249863,0.755652915,0.882248604,0.818585265,1,1,1,1,,4,5
0.612245596,0.66250596,0.675620725,0.333903499,0.571068945,1,1,1,0,,4,6
0.956967263,0.951343723,0.951491725,0.94827756,0.952020068,1,1,1,1,,4,7
0.96669315,0.969140811,0.978830107,0.964949652,0.96990343,1,1,1,1,,4,8
0.942999023,0.936810986,0.923541772,0.944910467,0.937065562,1,1,1,1,,4,9
0.987838671,0.986323775,0.97911448,0.999989708,0.988316659,1,1,1,1,,4,10
0.98532214,0.981455518,0.955720315,0.999996359,0.980623583,1,1,1,1,,4,11
0.9624155,0.942357808,0.95533036,0.999990142,0.965023453,1,1,1,1,,4,12
0.969314577,0.968737441,0.959418961,0.999984,0.974363745,1,1,1,1,,4,13
0.971268636,0.968038718,0.945165217,0.99716041,0.970408245,1,1,1,1,,4,14
0.992453665,0.992809911,0.982122244,0.999990447,0.991844067,1,1,1,1,,4,15
0.997370844,0.997539625,0.996624469,0.997153196,0.997172034,1,1,1,1,,4,16
0.995272026,0.994516047,0.980829594,0.986933151,0.989387705,1,1,1,1,,4,16
0.702560735,0.791228106,0.677972447,0.668914956,0.710169061,1,1,1,1,,5,1
0.6959537,0.75873283,0.662531557,0.419255644,0.634118433,1,1,1,0,,5,2
0.150398057,0.179206574,0.398421116,0.055063214,0.19577224,0,0,0,0,,5,3
0.691714581,0.72264777,0.632649717,0.307209718,0.588555446,1,1,1,0,,5,4
0.904977274,0.855540935,0.669141684,0.975358654,0.851254637,1,1,1,1,,5,6
0.895144738,0.872413922,0.789364252,0.917020521,0.868485858,1,1,1,1,,5,7
0.869334289,0.821337007,0.670584204,0.920283214,0.820384678,1,1,1,1,,5,8
0.989873125,0.98785419,0.943202758,0.999998292,0.980232091,1,1,1,1,,5,9
0.97794246,0.964771365,0.898092641,0.999992006,0.960199618,1,1,1,1,,5,10
0.913733118,0.908533464,0.867718426,0.995146153,0.92128279,1,1,1,1,,5,11
0.850034434,0.811768778,0.810612884,0.875318903,0.83693375,1,1,1,1,,5,11
0.881342342,0.840873148,0.709130139,0.993742589,0.856272054,1,1,1,1,,5,12
0.961438369,0.948952871,0.88355126,0.999986817,0.948482329,1,1,1,1,,5,13
0.950924415,0.945326874,0.906819265,0.999988934,0.950764872,1,1,1,1,,5,14
0.992902422,0.99074984,0.961435537,0.999998716,0.986271629,1,1,1,1,,5,15
0.99048954,0.988134831,0.933516561,0.999987682,0.978032154,1,1,1,1,,5,16
0.991830556,0.988655507,0.978628786,0.999991124,0.989776493,1,1,1,1,,5,16
0.634935647,0.73589221,0.642124262,0.534913969,0.636966522,1,1,1,1,,5,1
0.923477306,0.94757326,0.838446362,0.912187297,0.905421057,1,1,1,1,,5,2
0.932864933,0.926673067,0.731402444,0.644835229,0.808943918,1,1,1,1,,5,3
0.344581758,0.375465839,0.449193478,0.141429423,0.327667624,0,0,0,0,,5,4
0.108272716,0.140144647,0.294647243,0.157353966,0.175104643,0,0,0,0,,5,5
0.850181183,0.799148882,0.708937678,0.950240091,0.827126958,1,1,1,1,,5,6
0.840405216,0.79726838,0.640297605,0.917856238,0.79895686,1,1,1,1,,5,7
0.952077003,0.934080786,0.859578981,0.994258904,0.934998919,1,1,1,1,,5,8
0.959483488,0.938417552,0.829000822,0.996675469,0.930894333,1,1,1,1,,5,9
0.895333308,0.850397766,0.897166066,0.894374885,0.884318006,1,1,1,1,,5,10
0.967807089,0.954405309,0.921597304,0.999989193,0.960949724,1,1,1,1,,5,11
0.709954307,0.64624644,0.456864064,0.615385043,0.607112464,1,1,0,1,,5,11
0.860368757,0.804486564,0.655474139,0.992342653,0.828168028,1,1,1,1,,5,12
0.953850888,0.921671039,0.849888465,0.999984708,0.931348775,1,1,1,1,,5,13
0.951127481,0.937780044,0.857836425,0.999984058,0.936682002,1,1,1,1,,5,14
0.985876946,0.979329845,0.938550421,0.999986383,0.975935899,1,1,1,1,,5,15
0.894034501,0.872837829,0.867034279,0.964760001,0.899666653,1,1,1,1,,5,16
0.648614014,0.742924054,0.562752659,0.401269873,0.58889015,1,1,1,0,,5,1
0.657158691,0.7085651,0.691896095,0.687033536,0.686163355,1,1,1,1,,5,2
0.54336721,0.503802103,0.476005786,0.461811658,0.496246689,1,1,0,0,,5,3
0.567160398,0.63350214,0.58604295,0.200206527,0.496728004,1,1,1,0,,5,4
0.464397702,0.501183767,0.557986722,0.282042478,0.451402667,0,1,1,0,,5,5
0.831986789,0.767046156,0.657407866,0.822829521,0.769817583,1,1,1,1,,5,6
0.816938109,0.757275502,0.517128708,0.949959069,0.760325347,1,1,1,1,,5,7
0.887483637,0.832347476,0.741177087,0.947076459,0.852021165,1,1,1,1,,5,8
0.898965643,0.882597756,0.852893395,0.938659506,0.893279075,1,1,1,1,,5,9
0.953116098,0.920770165,0.856455154,0.954354137,0.921173888,1,1,1,1,,5,10
0.910685392,0.88293577,0.786835124,0.991544818,0.893000276,1,1,1,1,,5,11
0.892898747,0.865498926,0.842232651,0.932874294,0.883376154,1,1,1,1,,5,12
0.889929046,0.87065453,0.80285435,0.995912417,0.889837586,1,1,1,1,,5,13
0.956590987,0.942803712,0.949384235,0.997344719,0.961530913,1,1,1,1,,5,14
0.959746286,0.949236858,0.973723817,0.985471837,0.9670447,1,1,1,1,,5,15
0.990381113,0.985522068,0.919791306,0.99998545,0.973919984,1,1,1,1,,5,16
0.520639957,0.595643319,0.566991423,0.229357624,0.478158081,1,1,1,0,,5,1
0.795435853,0.85276223,0.642874375,0.598501461,0.72239348,1,1,1,1,,5,2
0.406527141,0.489878928,0.410238086,0.277520018,0.396041043,0,0,0,0,,5,3
0.899574395,0.930980052,0.777560085,0.79993677,0.852012825,1,1,1,1,,5,4
0.31150799,0.388068775,0.536610552,0.058553651,0.323685242,0,0,1,0,,5,5
0.413046352,0.429681207,0.51990264,0.441197917,0.450957029,0,0,1,0,,5,6
