,total_score,total_opponent_score,total_rebounds,total_off_rebounds,total_def_rebounds,total_blocks,total_assists,total_steals,total_turnover,total_personalfoul,total_assist_per_fgm,total_assist_turnover_ratio,expectation_per_game,avg_lose_score_by,avg_win_score_by,num_season,is_playoff,is_champion,win_rate,fgp,fg3p,total_off_rebounds_percent,total_def_rebounds_percent,total_rebound_possession_percent,total_rebound_possessiongain_percent,total_block_opp_FGA_percent,win_rate_away,win_rate_home,win_rate_neutral,win_rate_post,win_rate_regular,win_rate_overall
total_assist_per_fgm,0.09745628340098507,-0.17096004277162435,-0.06172503842694337,-0.20678502118698905,0.0537408286435008,0.004312571140564076,0.6495599108041893,0.01042921422845122,-0.06082471922109446,-0.1467415993648563,1.0,0.5795378552391965,0.2816507784349801,0.19115392328223926,0.25533012004229577,0.09775311828156064,0.14028055897823302,0.05883769167167832,0.25398345572747233,0.35464967633467587,0.3253506771111635,-0.30038743399718537,0.30038743399718554,-0.08869959812063047,0.07433177180881742,0.01129400448668156,0.1820385296721499,0.2698725607887776,0.08908371651195743,0.13526519175468735,0.1667254973696853,0.16590270164767895
total_assist_turnover_ratio,0.5572716593332435,0.030878130498117152,0.24198401486333862,0.059339002043159755,0.3213622612660263,0.19299015950017243,0.7808733604204007,0.18284312919624635,-0.5401352015871965,-0.14696385636885878,0.5795378552391965,1.0,0.6834489457950642,0.4964244959038043,0.5488700653934342,0.26347675047579444,0.3831752920218485,0.17071654161476582,0.6297265631344141,0.5822290484047454,0.48299812345641546,-0.19316743173424544,0.19316743173424455,-0.006924683317832208,0.046316982732761226,0.13411325708843352,0.4990009982020809,0.6371793361724314,0.3126359407561294,0.35851754735282987,0.40650916325771386,0.4101275240899373
expectation_per_game,0.7047547940449547,-0.10155107920843136,0.5341374571630455,0.3268797464013072,0.570627640298549,0.42132739169972017,0.6809343339018845,0.3777414063548461,-0.20182495857830807,0.03458867565636455,0.2816507784349801,0.6834489457950642,1.0,0.7255322784405036,0.7395165094021947,0.27240268101869686,0.4568457557086847,0.24471208406123993,0.9460403320113173,0.7044167889646906,0.48502895579224287,-0.07597339802768116,0.07597339802768113,0.3868774360762011,0.19701345294892303,0.37520650616208173,0.7945982194741517,0.922648167351511,0.4648742708741264,0.44831402322619524,0.520933698666941,0.5223771077317739
avg_lose_score_by,0.45067019807194386,-0.15047191178592748,0.33559409512039073,0.20240341368138687,0.3606254341772959,0.2660181189773755,0.4367555126454465,0.20873548441042605,-0.2407012915693444,0.018718036319616656,0.19115392328223926,0.4964244959038043,0.7255322784405036,1.0,0.4129138421707729,0.17918390032705653,0.2727989507233878,0.1379349659262834,0.5705884539691066,0.4885458166113161,0.35392316905801985,-0.05205189835356405,0.05205189835356402,0.2693473470069465,0.2129303922529647,0.25678269302118956,0.4484526344612477,0.5794480450842805,0.2521380933556511,0.2866297270139831,0.32132495420940255,0.327726721724713
avg_win_score_by,0.5445068468003479,-0.05120018568120873,0.40700159583398837,0.26367657116136145,0.4244668332791775,0.36419227385340225,0.5673121511158399,0.32935498042642614,-0.12478675329233661,0.023256846403238527,0.25533012004229577,0.5488700653934342,0.7395165094021947,0.4129138421707729,1.0,0.23453653723809595,0.42570397977020413,0.24746648155595397,0.586288672120149,0.5301114390262591,0.35744336758688394,-0.03691225483966243,0.03691225483966246,0.28200940070539965,0.10502341867528704,0.3274745851961975,0.4234419139306779,0.6220386127240617,0.3063074881359442,0.4187300103611867,0.41856580453847225,0.43079489246090064
num_season,0.24205468249841217,0.035964168480738155,0.2364053019923504,0.17562051499008147,0.23064162984310232,0.2669807129818893,0.25885180157853577,0.1153124060471201,-0.08299315676790088,-0.08742728370105124,0.09775311828156064,0.26347675047579444,0.27240268101869686,0.17918390032705653,0.23453653723809595,1.0,0.7034656744185245,0.29398372689023305,0.24305091870063994,0.17010953528180683,0.07400094067703054,0.01595213326390281,-0.015952133263902858,0.13474459679533005,-0.07110898117903684,0.22900158544369636,0.1575690752514668,0.27642024735298487,0.11336696866067744,0.4628856304368394,0.36876206708583564,0.4377576977841243
is_playoff,0.4210215919739842,0.07414129491764007,0.4012260373042261,0.3020712526796799,0.388605117937417,0.3868529591741001,0.42088060296132157,0.21729355431772557,-0.0531164739352023,-0.01182761777646095,0.14028055897823302,0.3831752920218485,0.4568457557086847,0.2727989507233878,0.42570397977020413,0.7034656744185245,1.0,0.5975208025049501,0.41117565990395044,0.28707130181672924,0.14866343787148287,0.0351680512704589,-0.03516805127045878,0.24276197785768644,-0.04780990877231469,0.3179457811793097,0.2655849485279026,0.4682730167157526,0.22002254255038609,0.6776535778290905,0.5164970729460246,0.5678324921863425
is_champion,0.2541286474799385,0.07256064787359082,0.23635602930716867,0.19031270836621395,0.2201635583723383,0.2710873738623373,0.23619168389197942,0.15470013632660026,0.02964354115916911,0.0009835590783368036,0.05883769167167832,0.17071654161476582,0.24471208406123993,0.1379349659262834,0.24746648155595397,0.29398372689023305,0.5975208025049501,1.0,0.208044833435398,0.16444054770257505,0.09673650678862128,0.037421032853752874,-0.03742103285375294,0.15534187830257395,-0.06950777976168868,0.21479566494368704,0.14135469121487476,0.22782279021473123,0.12072201770452326,0.3227736487439329,0.19073141218904374,0.18907563420408646
win_rate,0.6819789130624359,-0.07409439802431074,0.5182295400263099,0.30853088251136057,0.5597325527267114,0.3924756652591001,0.6396261800327109,0.36263051572734667,-0.16388682699825202,0.03467947664158377,0.25398345572747233,0.6297265631344141,0.9460403320113173,0.5705884539691066,0.586288672120149,0.24305091870063994,0.41117565990395044,0.208044833435398,1.0,0.6742920805553335,0.46058985372546635,-0.08766866369644183,0.0876686636964422,0.36724070163371536,0.17153106567772783,0.34067016826817836,0.8787558648491072,0.9469227571341501,0.4950628720973903,0.4036759263220571,0.5084223478346352,0.5037261013716914
fgp,0.5781660671343861,0.040546678116149544,0.21068918616341198,-0.0256044371127896,0.33451902287608387,0.23633171229479014,0.6605795742954671,0.1396481948601287,-0.06692309020753422,-0.08201313935845017,0.35464967633467587,0.5822290484047454,0.7044167889646906,0.4885458166113161,0.5301114390262591,0.17010953528180683,0.28707130181672924,0.16444054770257505,0.6742920805553335,1.0,0.6348336832833442,-0.2983312269893797,0.29833122698937864,0.20995544566900354,0.07562106434315544,0.18313438300158935,0.577943106132961,0.6495856792213676,0.3254473876759557,0.2795023256965165,0.3463902287647086,0.34292602092590696
fg3p,0.39229093129852843,0.020011648711637846,0.018843889758151353,-0.17052892580652518,0.1490552505187714,0.012799888133493923,0.4483912388453868,-0.017685454908226973,-0.18831708347247764,-0.05458250209695025,0.3253506771111635,0.48299812345641546,0.48502895579224287,0.35392316905801985,0.35744336758688394,0.07400094067703054,0.14866343787148287,0.09673650678862128,0.46058985372546635,0.6348336832833442,1.0,-0.31708038815588985,0.31708038815588807,-0.04883793390023603,0.07779356031675987,-0.022203222265894627,0.4173089088652053,0.4346295757716266,0.20963779391414322,0.15304459380216656,0.1926346189840477,0.1838397924481904
total_off_rebounds_percent,0.06267212378858615,0.17045286640242002,0.23686271616008897,0.7375598781739233,-0.16660130458829367,0.05573688038467978,-0.09164336961542936,0.3385605673005016,0.18326287726083682,0.2258451061550027,-0.30038743399718537,-0.19316743173424544,-0.07597339802768116,-0.05205189835356405,-0.03691225483966243,0.01595213326390281,0.0351680512704589,0.037421032853752874,-0.08766866369644183,-0.2983312269893797,-0.31708038815588985,1.0,-0.999999999999999,0.7158687721268229,-0.20503385922900355,0.07090653511438304,-0.08199781670936143,-0.08143989058893657,-0.02965632997301991,0.0029489304194095086,-0.06004673633857754,-0.0498416961642291
total_def_rebounds_percent,-0.06267212378858614,-0.17045286640241927,-0.23686271616008817,-0.7375598781739218,0.16660130458829284,-0.05573688038467979,0.0916433696154293,-0.3385605673005008,-0.18326287726083706,-0.2258451061550026,0.30038743399718554,0.19316743173424455,0.07597339802768113,0.05205189835356402,0.03691225483966246,-0.015952133263902858,-0.03516805127045878,-0.03742103285375294,0.0876686636964422,0.29833122698937864,0.31708038815588807,-0.999999999999999,1.0,-0.7158687721268242,0.20503385922900372,-0.07090653511438318,0.08199781670936124,0.0814398905889366,0.029656329973019896,-0.0029489304194095607,0.06004673633857748,0.049841696164229
total_rebound_possession_percent,0.3528976926097085,0.07316811587902051,0.5880216751940363,0.8179075746819215,0.30382968234410557,0.32751445980112026,0.23699006233880685,0.24254444090279179,0.3136014195331389,0.17383825238250414,-0.08869959812063047,-0.006924683317832208,0.3868774360762011,0.2693473470069465,0.28200940070539965,0.13474459679533005,0.24276197785768644,0.15534187830257395,0.36724070163371536,0.20995544566900354,-0.04883793390023603,0.7158687721268229,-0.7158687721268242,1.0,0.06147429123321843,0.3052612736800407,0.29240790382679316,0.3669833922767833,0.1824703621075378,0.206075245654737,0.1983599237562457,0.2025400828912521
total_rebound_possessiongain_percent,0.01984282264549861,-0.18167243568399913,0.15970357996933796,-0.008189926987795502,0.24562314298478147,-0.2057501568598212,0.03464975498421212,-0.16937474690422163,-0.04092965479460291,0.22709638875935031,0.07433177180881742,0.046316982732761226,0.19701345294892303,0.2129303922529647,0.10502341867528704,-0.07110898117903684,-0.04780990877231469,-0.06950777976168868,0.17153106567772783,0.07562106434315544,0.07779356031675987,-0.20503385922900355,0.20503385922900372,0.06147429123321843,1.0,-0.16915253607593747,0.17022931777345074,0.14974109836531502,0.05829666472672588,-0.02123408094748846,0.06369895139982665,0.05133144055506183
total_block_opp_FGA_percent,0.290025422553504,-0.006601463128403125,0.4149095635373981,0.32806304240069795,0.3907476483649496,0.9620969387563483,0.2533339674008827,0.24709944106063203,0.11538139908292708,0.07720991405082336,0.01129400448668156,0.13411325708843352,0.37520650616208173,0.25678269302118956,0.3274745851961975,0.22900158544369636,0.3179457811793097,0.21479566494368704,0.34067016826817836,0.18313438300158935,-0.022203222265894627,0.07090653511438304,-0.07090653511438318,0.3052612736800407,-0.16915253607593747,1.0,0.22736212222537733,0.37386779641020074,0.15323640969353833,0.2913989952326672,0.263656437953409,0.27819598347223556
win_rate_away,0.5274136371696634,-0.12756351942649496,0.36605648848039485,0.20519670122098904,0.40430368846257775,0.254920383364904,0.48058179997102246,0.31025206068738453,-0.1580604999147641,0.012030481690937615,0.1820385296721499,0.4990009982020809,0.7945982194741517,0.4484526344612477,0.4234419139306779,0.1575690752514668,0.2655849485279026,0.14135469121487476,0.8787558648491072,0.577943106132961,0.4173089088652053,-0.08199781670936143,0.08199781670936124,0.29240790382679316,0.17022931777345074,0.22736212222537733,1.0,0.7245140000948941,0.3810233264300181,0.23626686584672899,0.37690537381624295,0.3545034244291383
win_rate_home,0.6853266165733023,-0.044349668280494914,0.5424804772040877,0.3290671570341949,0.5814713199261621,0.43222922745775905,0.6562980934565691,0.34036318826972584,-0.1579136142575252,0.033702320645104054,0.2698725607887776,0.6371793361724314,0.922648167351511,0.5794480450842805,0.6220386127240617,0.27642024735298487,0.4682730167157526,0.22782279021473123,0.9469227571341501,0.6495856792213676,0.4346295757716266,-0.08143989058893657,0.0814398905889366,0.3669833922767833,0.14974109836531502,0.37386779641020074,0.7245140000948941,1.0,0.3743443366164767,0.47864467281362516,0.5342107880465534,0.541323278132776
win_rate_neutral,0.4283270663950885,0.09212893760503557,0.3421100071960054,0.22139415426299436,0.3568738632906115,0.21279285035123943,0.3605133609851547,0.2307998871105984,-0.014192868754726347,0.09883673483072358,0.08908371651195743,0.3126359407561294,0.4648742708741264,0.2521380933556511,0.3063074881359442,0.11336696866067744,0.22002254255038609,0.12072201770452326,0.4950628720973903,0.3254473876759557,0.20963779391414322,-0.02965632997301991,0.029656329973019896,0.1824703621075378,0.05829666472672588,0.15323640969353833,0.3810233264300181,0.3743443366164767,1.0,0.20098315258271904,0.2797228544168911,0.2743158073968214
win_rate_post,0.37966718505318425,0.031079275514479136,0.3466849877906486,0.24375996351886883,0.3479943117003618,0.3397174275480795,0.3763687171879183,0.18172392299966425,-0.07066338423439725,0.0008478794906609049,0.13526519175468735,0.35851754735282987,0.44831402322619524,0.2866297270139831,0.4187300103611867,0.4628856304368394,0.6776535778290905,0.3227736487439329,0.4036759263220571,0.2795023256965165,0.15304459380216656,0.0029489304194095086,-0.0029489304194095607,0.206075245654737,-0.02123408094748846,0.2913989952326672,0.23626686584672899,0.47864467281362516,0.20098315258271904,1.0,0.5261210684501142,0.6669063084358112
win_rate_regular,0.4527668826272161,0.05841597445840547,0.39755446737545147,0.24014054689577122,0.42694699621353976,0.3200623338847472,0.4381811796180504,0.20437857750875538,-0.0633872078217511,0.03282751566833694,0.1667254973696853,0.40650916325771386,0.520933698666941,0.32132495420940255,0.41856580453847225,0.36876206708583564,0.5164970729460246,0.19073141218904374,0.5084223478346352,0.3463902287647086,0.1926346189840477,-0.06004673633857754,0.06004673633857748,0.1983599237562457,0.06369895139982665,0.263656437953409,0.37690537381624295,0.5342107880465534,0.2797228544168911,0.5261210684501142,1.0,0.9386227500986034
win_rate_overall,0.43748080838962833,0.037172735990255584,0.3834948463779839,0.2367280393104834,0.4082504762422715,0.3270823166998502,0.42727366494771946,0.20361396345462868,-0.0840748075248339,0.01710871338194453,0.16590270164767895,0.4101275240899373,0.5223771077317739,0.327726721724713,0.43079489246090064,0.4377576977841243,0.5678324921863425,0.18907563420408646,0.5037261013716914,0.34292602092590696,0.1838397924481904,-0.0498416961642291,0.049841696164229,0.2025400828912521,0.05133144055506183,0.27819598347223556,0.3545034244291383,0.541323278132776,0.2743158073968214,0.6669063084358112,0.9386227500986034,1.0
